Date,Number of Cases
2010-01-31,143
2010-02-28,130
2010-03-31,120
2010-04-30,154
2010-05-31,153
2010-06-30,109
2010-07-31,131
2010-08-31,108
2010-09-30,153
2010-10-31,104
2010-11-30,112
2010-12-31,174
2011-01-31,152
2011-02-28,159
2011-03-31,172
2011-04-30,171
2011-05-31,184
2011-06-30,178
2011-07-31,204
2011-08-31,196
2011-09-30,253
2011-10-31,200
2011-11-30,212
2011-12-31,268
2012-01-31,212
2012-02-29,274
2012-03-31,313
2012-04-30,233
2012-05-31,273
2012-06-30,295
2012-07-31,278
2012-08-31,272
2012-09-30,316
2012-10-31,295
2012-11-30,284
2012-12-31,293
2013-01-31,380
2013-02-28,339
2013-03-31,370
2013-04-30,388
2013-05-31,415
2013-06-30,431
2013-07-31,449
2013-08-31,382
2013-09-30,427
2013-10-31,491
2013-11-30,384
2013-12-31,358
2014-01-31,448
2014-02-28,486
2014-03-31,498
2014-04-30,393
2014-05-31,495
2014-06-30,494
2014-07-31,585
2014-08-31,509
2014-09-30,565
2014-10-31,537
2014-11-30,492
2014-12-31,509
2015-01-31,536
2015-02-28,646
2015-03-31,667
2015-04-30,560
2015-05-31,748
2015-06-30,772
2015-07-31,682
2015-08-31,598
2015-09-30,694
2015-10-31,651
2015-11-30,627
2015-12-31,650
2016-01-31,804
2016-02-29,751
2016-03-31,735
2016-04-30,772
2016-05-31,741
2016-06-30,841
2016-07-31,764
2016-08-31,764
2016-09-30,765
2016-10-31,819
2016-11-30,758
2016-12-31,750
2017-01-31,526
2017-02-28,600
2017-03-31,784
2017-04-30,561
2017-05-31,683
2017-06-30,690
2017-07-31,727
2017-08-31,846
2017-09-30,746
2017-10-31,750
2017-11-30,658
2017-12-31,664
2018-01-31,956
2018-02-28,778
2018-03-31,739
2018-04-30,753
2018-05-31,757
2018-06-30,549
2018-07-31,915
2018-08-31,944
2018-09-30,804
2018-10-31,831
2018-11-30,685
2018-12-31,877
2019-01-31,1024
2019-02-28,810
2019-03-31,923
2019-04-30,752
2019-05-31,870
2019-06-30,702
2019-07-31,916
2019-08-31,922
2019-09-30,746
2019-10-31,962
2019-11-30,735
2019-12-31,925
2020-01-31,1167
2020-02-29,950
2020-03-31,682
2020-04-30,275
2020-05-31,367
2020-06-30,491
2020-07-31,668
2020-08-31,506
2020-09-30,551
2020-10-31,579
2020-11-30,563
2020-12-31,639
2021-01-31,675
2021-02-28,719
2021-03-31,910
2021-04-30,529
2021-05-31,628
2021-06-30,793
2021-07-31,1045